SYMBOL,FULLNAME
OFSS,Oracle Financial Services Software Limited
OIL,Oil India Limited
OILCOUNTUB,Oil Country Tubular Limited
OISL,OCL Iron and Steel Limited
OMAXAUTO,Omax Autos Limited
OMAXE,Omaxe Limited
OMKARCHEM,Omkar Speciality Chemicals Limited
OMMETALS,OM Metals Infraprojects Limited
OMNITECH,Omnitech Infosolutions Limited
ONELIFECAP,Onelife Capital Advisors Limited
ONGC,Oil & Natural Gas Corporation Limited
ONMOBILE,OnMobile Global Limited
ONWARDTEC,Onward Technologies Limited
OPTOCIRCUI,Opto Circuits (India) Limited
ORBITCORP,Orbit Corporation Limited
ORBTEXP,Orbit Exports Limited
ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Limited
ORIENTABRA,Orient Abrasives Limited
ORIENTBANK,Oriental Bank of Commerce
ORIENTBELL,Orient Bell Limited
ORIENTCEM,Orient Cement Limited
ORIENTHOT,Oriental Hotels Limited
ORIENTPPR,Orient Paper & Industries Limited
ORIENTREF,Orient Refractories Limited
ORISSAMINE,The Orissa Minerals Development Company Limited
OUDHSUG,The Oudh Sugar Mills Limited
PAGEIND,Page Industries Limited
PANACEABIO,Panacea Biotec Limited
PANAMAPET,Panama Petrochem Limited
PANASONIC,Panasonic Appliances India Company Limited
PANCARBON,Panasonic Carbon India Company Limited
PANORAMUNI,Panoramic Universal Limited
PAPERPROD,The Paper Products Limited
PARACABLES,Paramount Communications Limited
PARAL,Parekh Aluminex Limited
PARRYSUGAR,Parrys Sugar Industries Limited
PARSVNATH,Parsvnath Developers Limited
PATELENG,Patel Engineering Limited
PATINTLOG,Patel Integrated Logistics Limited
PATSPINLTD,Patspin India Limited
PCJEWELLER,PC Jeweller Limited
PDPL,Parenteral Drugs (India) Limited
PDUMJEIND,Pudumjee Industries Limited
PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited
PEL,Piramal Enterprises Limited
PENIND,Pennar Industries Limited
PENINLAND,Peninsula Land Limited
PERIATEA,The Peria Karamalai Tea & Produce Company Limited
PERSISTENT,Persistent Systems Limited
PETRONET,Petronet LNG Limited
PFC,Power Finance Corporation Limited
PFIZER,Pfizer Limited
PFOCUS,Prime Focus Limited
PFRL,Pantaloons Fashion & Retail Limited
PFS,PTC India Financial Services Limited
PGEL,PG Electroplast Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
PGIL,Pearl Global Industries Limited
PHILIPCARB,Phillips Carbon Black Limited
PHOENIXLL,Phoenix Lamps Limited
PHOENIXLTD,The Phoenix Mills Limited
PIDILITIND,Pidilite Industries Limited
PIIND,PI Industries Limited
PILIND,Peacock Industries Limited
PIPAVAVDOC,Pipavav Defence and Offshore Engineering Company Limited
PIRGLASS,Piramal Glass Limited
PITTILAM,Pitti Laminations Limited
PLETHICO,Plethico Pharmaceuticals Limited
PNB,Punjab National Bank
PNBGILTS,PNB Gilts Limited
POCHIRAJU,Pochiraju Industries Limited
POLARIS,Polaris Financial Technology Limited
POLYMED,Poly Medicure Limited
POLYPLEX,Polyplex Corporation Limited
PONDYOXIDE,Pondy Oxides & Chemicals Limited
PONNIERODE,Ponni Sugars (Erode) Limited
POWERGRID,Power Grid Corporation of India Limited
PPAP,Precision Pipes And Profiles Company Limited
PRAENG,Prajay Engineers Syndicate Limited
PRAJIND,Praj Industries Limited
PRAKASH,Prakash Industries Limited
PRAKASHCON,Prakash Constrowell Limited
PRAKASHSTL,Prakash Steelage Limited
PRATIBHA,Pratibha Industries Limited
PRECOT,Precot Meridian Limited
PRECWIRE,Precision Wires India Limited
PREMIER,Premier Limited
PRESTIGE,Prestige Estates Projects Limited
PRICOL,Pricol Limited
PRISMCEM,Prism Cement Limited
PROVOGE,Provogue (India) Limited
PSB,Punjab & Sind Bank
PSL,PSL Limited
PSUBNKBEES,Goldman Sachs PSU Bank Exchange Traded Scheme
PTC,PTC India Limited
PTL,PTL Enterprises Limited
PUNJLLOYD,Punj Lloyd Limited
PURVA,Puravankara Projects Limited
PVP,PVP Ventures Limited
PVR,PVR Limited
QGOLDHALF,Quantum Gold Fund -Exchange Traded Fund (ETF)
QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF)
RADICO,Radico Khaitan Limited
RAIN,Rain Industries Limited
RAINBOWPAP,Rainbow Papers Limited
RAJESHEXPO,Rajesh Exports Limited
RAJPALAYAM,Rajapalayam Mills Limited
RAJRAYON,Raj Rayon Industries Limited
RAJSREESUG,Rajshree Sugars & Chemicals Limited
RAJTV,Raj Television Network Limited
RALLIS,Rallis India Limited
RAMANEWS,Shree Rama Newsprint Limited
RAMCOCEM,The Ramco Cements Limited
RAMCOIND,Ramco Industries Limited
RAMCOSYS,Ramco Systems Limited
RAMSARUP,Ramsarup Industries Limited
RANASUG,Rana Sugars Limited
RANBAXY,Ranbaxy Laboratories Limited
RANEENGINE,Rane Engine Valve Limited
RANEHOLDIN,Rane Holdings Limited
RANKLIN,Ranklin Solutions Limited
RASOYPR,Rasoya Proteins Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
RAYMOND,Raymond Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
RCOM,Reliance Communications Limited
RECLTD,Rural Electrification Corporation Limited
REDINGTON,Redington (India) Limited
REGENCERAM,Regency Ceramics Limited
REIAGROLTD,Rei Agro Limited
RELAXO,Relaxo Footwears Limited
RELBANK,R* Shares Banking ETF
RELCAPITAL,Reliance Capital Limited
RELCNX100,Reliance Mutual Fund - R* Shares CNX 100 Fund
RELGOLD,R* Shares Gold ETF
RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund
RELIANCE,Reliance Industries Limited
RELIGARE,Religare Enterprises Limited
RELIGAREGO,Religare Invesco Gold Exchange Traded Fund
RELINFRA,Reliance Infrastructure Limited
RELMEDIA,Reliance MediaWorks Limited
RENUKA,Shree Renuka Sugars Limited
REPCOHOME,Repco Home Finance Limited
REPRO,Repro India Limited
RESPONIND,Responsive Industries Limited
REVATHI,Revathi Equipment Limited
RICOAUTO,Rico Auto Industries Limited
RIIL,Reliance Industrial Infrastructure Limited
RJL,Renaissance Jewellery Limited
RKDL,Ravi Kumar Distilleries Limited
RKFORGE,Ramkrishna Forgings Limited
RML,Rane (Madras) Limited
ROHITFERRO,Rohit Ferro-Tech Limited
ROHLTD,Royal Orchid Hotels Limited
ROLTA,Rolta India Limited
ROSSELLIND,Rossell India Limited
RPGLIFE,RPG Life Sciences Limited
RPOWER,Reliance Power Limited
RPPINFRA,R.P.P. Infra Projects Limited
RSSOFTWARE,R. S. Software (India) Limited
RSWM,RSWM Limited
RSYSTEMS,R Systems International Limited
RUBYMILLS,The Ruby Mills Limited
RUCHINFRA,Ruchi Infrastructure Limited
RUCHISOYA,Ruchi Soya Industries Limited
RUPA,Rupa & Company Limited
RUSHIL,Rushil Decor Limited
SABERORGAN,Sabero Organics Gujarat Limited
SABTN,Sri Adhikari Brothers Television Network Limited
SADBHAV,Sadbhav Engineering Limited
SAHPETRO,Sah Petroleums Limited
SAIL,Steel Authority of India Limited
SAKHTISUG,Sakthi Sugars Limited
SAKSOFT,Saksoft Limited
SAKUMA,Sakuma Exports Limited
SANDESH,The Sandesh Limited
SANGAMIND,Sangam (India) Limited
SANGHIIND,Sanghi Industries Limited
SANGHVIMOV,Sanghvi Movers Limited
SANOFI,Sanofi India Limited
SANWARIA,Sanwaria Agro Oils Limited
SARDAEN,Sarda Energy & Minerals Limited
SAREGAMA,Saregama India Limited
SASKEN,Sasken Communication Technologies Limited
SATHAISPAT,Sathavahana Ispat Limited
SAVERA,Savera Industries Limited
SBBJ,State Bank of Bikaner and Jaipur
SBIGETS,SBI Mutual Fund - SBI Gold Exchange Traded Scheme - Growth Option
SBIN,State Bank of India
SBT,State Bank of Travancore
SCHNEIDER,Schneider Electric Infrastructure Limited
SCI,Shipping Corporation Of India Limited
SEAMECLTD,Seamec Limited
SEINV,S.E. Investments Limited
SELAN,Selan Exploration Technology Limited
SELMCL,SEL Manufacturing Company Limited
SERVALL,Servalakshmi Paper Limited
SESHAPAPER,Seshasayee Paper and Boards Limited
SEZAL,Sezal Glass Limited
SFCL,Star Ferro and Cement Limited
SGJHL,SHREE GANESH JEWELLERY HOUSE (I) LIMITED
SHAKTIPUMP,Shakti Pumps (India) Limited
SHALPAINTS,Shalimar Paints Limited
SHANTIGEAR,Shanthi Gears Limited
SHARIABEES,Goldman Sachs S&P CNX Nifty Shariah Index Exchange Traded Scheme
SHARONBIO,Sharon Bio-Medicine Limited
SHARRESLTD,Sharyans Resources Limited
SHASUNPHAR,Shasun Pharmaceuticals Limited
SHILPAMED,Shilpa Medicare Limited
SHILPI,Shilpi Cable Technologies Limited
SHIRPUR-G,Shirpur Gold Refinery Limited
SHIVAMAUTO,Shivam Autotech Limited
SHOPERSTOP,Shoppers Stop Limited
SHREECEM,Shree Cements Limited
SHREERAMA,Shree Rama Multi-Tech Limited
SHRENUJ,Shrenuj & Company Limited
SHREYAS,Shreyas Shipping & Logistics Limited
SHRIRAMCIT,Shriram City Union Finance Limited
SHRIRAMEPC,Shriram EPC Limited
SICAGEN,Sicagen India Limited
SICAL,Sical Logistics Limited
SIEMENS,Siemens Limited
SIGNETIND,Signet Industries Limited
SIMBHSUGAR,Simbhaoli Sugars Limited
SIMPLEX,Simplex Projects Limited
SIMPLEXINF,Simplex Infrastructures Limited
SINTEX,Sintex Industries Limited
SIRPAPER,The Sirpur Paper Mills Limited
SITASHREE,Sita Shree Food Products Limited
SITICABLE,Siti Cable Network Limited
SIYSIL,Siyaram Silk Mills Limited
SJVN,SJVN Limited
SKFINDIA,SKF India Limited
SKMEGGPROD,SKM Egg Products Export (India) Limited
SKSMICRO,SKS Microfinance Limited
SMARTLINK,Smartlink Network Systems Limited
SMLISUZU,SML Isuzu Limited
SMOBILITY,S Mobility Limited
SMSPHARMA,SMS Pharmaceuticals Limited
SOBHA,Sobha Developers Limited
SOLARINDS,Solar Industries India Limited
SOMANYCERA,Somany Ceramics Limited
SONASTEER,Sona Koyo Steering Systems Limited
SONATSOFTW,Sonata Software Limited
SOTL,Savita Oil Technologies Limited
SOUTHBANK,The South Indian Bank Limited
SPARC,Sun Pharma Advanced Research Company Limited
SPECIALITY,Speciality Restaurants Limited
SPENTEX,Spentex Industries Limited
SPIC,Southern Petrochemicals Industries Corporation  Limited
SPYL,Shekhawati Poly-Yarn Limited
SREINFRA,SREI Infrastructure Finance Limited
SRF,SRF Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
SRSLTD,SRS Limited
SRTRANSFIN,Shriram Transport Finance Company Limited
SSLT,Sesa Sterlite Limited
SSWL,Steel Strips Wheels Limited
STAR,Strides Arcolab Limited
STCINDIA,The State Trading Corporation of India Limited
STEL,Stel Holdings Limited
STERLINBIO,Sterling Biotech Limited
STOREONE,Store One Retail India Limited
STRTECH,Sterlite Technologies Limited
STYABS,Styrolution ABS (India) Limited
SUBROS,Subros Limited
SUDAR,Sudar Industries Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
SUJANATWR,Sujana Tower Limited
SUJANAUNI,Sujana Universal Industries Limited
SUMEETINDS,Sumeet Industries Limited
SUMMITSEC,Summit Securities Limited
SUNCLAYLTD,Sundaram Clayton Limited
SUNDARAM,Sundaram Multi Pap Limited
SUNDARMFIN,Sundaram Finance Limited
SUNDRMBRAK,Sundaram Brake Linings Limited
SUNDRMFAST,Sundram Fasteners Limited
SUNFLAG,Sunflag Iron And Steel Company Limited
SUNILHITEC,Sunil Hitech Engineers Limited
SUNPHARMA,Sun Pharmaceuticals Industries Limited
SUNTECK,Sunteck Realty Limited
SUNTV,Sun TV Network Limited
SUPER,Super Sales India Limited
SUPERSPIN,Super Spinning Mills Limited
SUPPETRO,Supreme Petrochem Limited
SUPRAJIT,Suprajit Engineering Limited
SUPREMEIND,Supreme Industries Limited
SUPREMEINF,Supreme Infrastructure India Limited
SURANAT%26P,Surana Telecom and Power Limited
SURYAJYOTI,Suryajyoti Spinning Mills Limited
SURYALAXMI,Suryalakshmi Cotton Mills Limited
SURYAROSNI,Surya Roshni Limited
SUVEN,Suven Life Sciences Limited
SUZLON,Suzlon Energy Limited
SWANENERGY,Swan Energy Limited
SWARAJENG,Swaraj Engines Limited
SWELECTES,Swelect Energy Systems Limited
SYMPHONY,Symphony Limited
SYNCOM,Syncom Healthcare Limited
SYNDIBANK,Syndicate Bank
TAJGVK,Taj GVK Hotels & Resorts Limited
TAKE,Take Solutions Limited
TALBROAUTO,Talbros Automotive Components Limited
TALWALKARS,Talwalkars Better Value Fitness Limited
TANFACIND,Tanfac Industries Limited
TANTIACONS,Tantia Constructions Limited
TARAJEWELS,Tara Jewels Limited
TATACHEM,Tata Chemicals Limited
TATACOFFEE,Tata Coffee Limited
TATACOMM,Tata Communications Limited
TATAELXSI,Tata Elxsi Limited
TATAGLOBAL,Tata Global Beverages Limited
TATAINVEST,Tata Investment Corporation Limited
TATAMOTORS,Tata Motors Limited
TATAMTRDVR,Tata Motors Limited
TATAPOWER,Tata Power Company Limited
TATASPONGE,Tata Sponge Iron Limited
TATASTEEL,Tata Steel Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
TCI,Transport Corporation of India Limited
TCS,Tata Consultancy Services Limited
TDPOWERSYS,TD Power Systems Limited
TECHM,Tech Mahindra Limited
TECHNO,Techno Electric & Engineering Company Limited
TECHNOFAB,Technofab Engineering Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
TEXMOPIPES,Texmo Pipes and Products Limited
TEXRAIL,Texmaco Rail & Engineering Limited
TFCILTD,Tourism Finance Corporation of India Limited
TGBHOTELS,TGB BANQUETS AND HOTELS LIMITED
THANGAMAYL,Thangamayil Jewellery Limited
THEBYKE,The Byke Hospitality Limited
THEMISMED,Themis Medicare Limited
THERMAX,Thermax Limited
THINKSOFT,Thinksoft Global Services Limited
THIRUSUGAR,Thiru Arooran Sugars Limited
THOMASCOOK,Thomas Cook  (India)  Limited
TI,Tilaknagar Industries Limited
TIDEWATER,Tide Water Oil Company (India) Limited
TIIL,Technocraft Industries (India) Limited
TIJARIA,Tijaria Polypipes Limited
TIL,TIL Limited
TIMBOR,Timbor Home Limited
TIMETECHNO,Time Technoplast Limited
TIMKEN,Timken India Limited
TINPLATE,The Tinplate Company of India Limited
TIPSINDLTD,TIPS Industries Limited
TIRUMALCHM,Thirumalai Chemicals Limited
TITAN,Titan Industries Limited
TNPETRO,Tamilnadu PetroProducts Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TORNTPOWER,Torrent Power Limited
TREEHOUSE,Tree House Education & Accessories Limited
TRENT,Trent Limited
TRF,TRF Limited
TRIDENT,Trident Limited
TRIGYN,Trigyn Technologies Limited
TRIL,Transformers And Rectifiers (India) Limited
TRITURBINE,Triveni Turbine Limited
TRIVENI,Triveni Engineering & Industries Limited
TTKHEALTH,TTK Healthcare Limited
TTKPRESTIG,TTK Prestige Limited
TTL,T T Limited
TTML,Tata Teleservices (Maharashtra) Limited
TUBEINVEST,Tube Investments of India Limited
TULIP,Tulip Telecom Limited
TULSI,Tulsi Extrusions Limited
TV18BRDCST,TV18 Broadcast Limited
TVSELECT,TVS Electronics Limited
TVSMOTOR,TVS Motor Company Limited
TVSSRICHAK,TVS Srichakra Limited
TVTODAY,TV Today Network Limited
TWL,Titagarh Wagons Limited
UBENGG,UB Engineering Limited
UBHOLDINGS,United Breweries (Holdings) Limited
UBL,United Breweries Limited
UCALFUEL,Ucal Fuel Systems Limited
UCOBANK,UCO Bank
UFLEX,UFLEX Limited
UGARSUGAR,The Ugar Sugar Works Limited
UJAAS,Ujaas Energy Limited
ULTRACEMCO,UltraTech Cement Limited
UNICHEMLAB,Unichem Laboratories Limited
UNIENTER,Uniphos Enterprises Limited
UNIONBANK,Union Bank of India
UNITECH,Unitech Limited
UNITEDBNK,United Bank of India
UNITY,Unity Infraprojects Limited
UPERGANGES,Upper Ganges Sugar & Industries Limited
UPL,UPL Limited
USHAMART,Usha Martin Limited
USHERAGRO,Usher Agro Limited
UTTAMSTL,Uttam Galva Steels Limited
UTTAMVALUE,Uttam Value Steels Limited
VADILALIND,Vadilal Industries Limited
VAIBHAVGBL,Vaibhav Global Limited
VAKRANSOFT,Vakrangee Softwares Limited
VALECHAENG,Valecha Engineering Limited
VALUEIND,Value Industries Limited
VARDHACRLC,Vardhman Acrylics Limited
VARDMNPOLY,Vardhman Polytex Limited
VARUN,Varun Industries Limited
VARUNSHIP,Varun Shipping Company Limited
VASCONEQ,Vascon Engineers Limited
VENKEYS,Venky's (India) Limited
VENUSREM,Venus Remedies Limited
VESUVIUS,Vesuvius India Limited
VGUARD,V-Guard Industries Limited
VHL,Vardhman Holdings Limited
VICEROY,Viceroy Hotels Limited
VIDEOIND,Videocon Industries Limited
VIJAYABANK,Vijaya Bank
VIJSHAN,Vijay Shanthi Builders Limited
VIKASGLOB,Vikas GlobalOne Limited
VIMALOIL,Vimal Oil & Foods Limited
VIMTALABS,Vimta Labs Limited
VINATIORGA,Vinati Organics Limited
VINDHYATEL,Vindhya Telelinks Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
VIPIND,VIP Industries Limited
VISAKAIND,Visaka Industries Limited
VISASTEEL,Visa Steel Limited
VISESHINFO,Visesh Infotecnics Limited
VISUINTL,Visu International Limited
VIVIMEDLAB,Vivimed Labs Limited
VKSPL,VKS Projects Limited
VLSFINANCE,VLS Finance Limited
VOLTAMP,Voltamp Transformers Limited
VOLTAS,Voltas Limited
VSSL,Vardhman Special Steels Limited
VSTIND,VST Industries Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
VTL,Vardhman Textiles Limited
WABAG,VA Tech Wabag Limited
WABCOINDIA,WABCO India Limited
WALCHANNAG,Walchandnagar Industries Limited
WEIZMANIND,Weizmann Limited
WELCORP,Welspun Corp Limited
WELINV,Welspun Investments and Commercials Limited
WELPROJ,Welspun Projects Limited
WELSPUNIND,Welspun India Limited
WHEELS,Wheels India Limited
WHIRLPOOL,Whirlpool of India Limited
WINDMACHIN,Windsor Machines Limited
WINSOME,Winsome Yarns Limited
WINSOMEDJ,Winsome Diamonds and Jewellery Limited
WIPRO,Wipro Limited
WOCKPHARMA,Wockhardt Limited
WSI,W S Industries (I) Limited
WSTCSTPAPR,West Coast Paper Mills Limited
WYETH,Wyeth Limited
XLENERGY,XL Energy Limited
XPROINDIA,Xpro India Limited
YESBANK,Yes Bank Limited
ZANDUREALT,Zandu Realty Limited
ZEEL,Zee Entertainment Enterprises Limited
ZEELEARN,Zee Learn Limited
ZEEMEDIA,Zee Media Corporation Limited
ZENITHCOMP,Zenith Computers Limited
ZENSARTECH,Zensar Technologies Limited
ZICOM,Zicom Electronic Security Systems Limited
ZODIACLOTH,Zodiac Clothing Company Limited
ZUARI,Zuari Agro Chemicals Limited
ZUARIGLOB,ZUARI GLOBAL LIMITED
ZYDUSWELL,Zydus Wellness Limited
ZYLOG,Zylog Systems Limited
